Artikelnummer,Kundennummer,Datum,Anzahl,Lieferung,wichtig,BackzettelNotiz,LieferscheinNotiz
346345555,987,2019-05-09,100,1,0,,
0981239081,987,2019-05-09,14,1,0,,
1233454562,987,2019-05-09,7,1,0,,
353634,987,2019-05-09,90,1,0,,
456734256,987,2019-05-09,90,1,0,,
7775555,987,2019-05-09,100,1,0,,
45654654,987,2019-05-09,89,1,0,,
98526,987,2019-05-09,4,1,0,,
8,987,2019-05-09,1,1,0,,
656,4,2019-05-09,1,1,0,,"Lieferung: 1 am 14.05.2019"
123,4,2019-05-09,1,1,0,,"Lieferung: 1 am 12.05.2019"
4364,4,2019-05-09,1,1,0,,"Lieferung: 1 am 11.05.2019"
