Datum,Kundennummer,Artikelnummer,Lieferung1,Lieferung2,Lieferung3,Extra,Nachlieferung,Retour,LieferscheinNotiz
2020-01-17,61,120x,0,0,0,0,2,0,
2020-01-17,61,124x,0,0,0,0,2,0,
2020-01-17,61,255x,0,0,0,0,4,0,
2020-01-17,61,187x,0,0,0,0,6,0,
2020-01-17,1000061,120x,4,0,0,0,0,0,"Lieferung: 4 am 18.01.2020"
2020-01-17,1000195,120x,2,0,0,0,0,0,"Lieferung: 2 am 18.01.2020"
2020-01-17,1000061,124x,7,0,0,0,0,0,"Lieferung: 7 am 18.01.2020"
2020-01-17,1000195,124x,3,0,0,0,0,0,"Lieferung: 3 am 18.01.2020"
2020-01-17,1000195,252x,2,0,0,0,0,0,"Lieferung: 2 am 18.01.2020"
2020-01-17,1000061,255x,7,0,0,0,0,0,"Lieferung: 7 am 18.01.2020"
2020-01-17,1000195,255x,3,0,0,0,0,0,"Lieferung: 3 am 18.01.2020"
2020-01-17,1000195,108x,3,0,0,0,0,0,"Lieferung: 3 am 18.01.2020"
2020-01-17,1000061,187x,12,0,0,0,0,0,"Lieferung: 12 am 18.01.2020"
2020-01-17,1000195,1193x,3,0,0,0,0,0,"Lieferung: 3 am 18.01.2020"
