Artikelnummer,Kundennummer,Datum,Anzahl,Lieferung,wichtig,BackzettelNotiz,LieferscheinNotiz
12,987,2019-05-13,1,5,0,,
56,987,2019-05-13,1,1,0,,
777,987,2019-05-13,1,1,0,,
656,987,2019-05-13,1,5,0,,
123,987,2019-05-13,1,5,0,,
1232323,987,2019-05-13,1,1,0,,
4364,987,2019-05-13,1,5,0,,
656565,987,2019-05-13,1,1,0,,
897987,987,2019-05-13,1,1,0,,
2312354,987,2019-05-13,1,1,0,,
12121212,987,2019-05-13,1,1,0,,
343432,987,2019-05-13,1,1,0,,
565467,987,2019-05-13,1,1,0,,
23402393,987,2019-05-13,1,1,0,,
1233453423,987,2019-05-13,1,1,0,,
346345555,987,2019-05-13,100,1,0,,
0981239081,987,2019-05-13,14,1,0,,
1233454562,987,2019-05-13,7,1,0,,
353634,987,2019-05-13,90,1,0,,
456734256,987,2019-05-13,90,1,0,,
7775555,987,2019-05-13,100,1,0,,
45654654,987,2019-05-13,89,1,0,,
98526,987,2019-05-13,4,1,0,,
8,987,2019-05-13,1,1,0,,
123,987,2019-05-13,1,1,0,,
12,4,2019-05-13,1,1,0,,"Lieferung: 1 am 14.05.2019"
656,4,2019-05-13,1,1,0,,"Lieferung: 1 am 18.05.2019"
123,4,2019-05-13,7,1,0,,"Lieferung: 7 am 16.05.2019"
4364,4,2019-05-13,1,1,0,,"Lieferung: 1 am 15.05.2019"
